feature,importance
Days for shipment (scheduled),0.3206608126286321
Shipping Mode_Standard Class,0.23854060651340087
Shipping Mode_First Class,0.21085490465526002
Shipping Mode_Second Class,0.08378631444331955
Shipping Mode_Same Day,0.029180069285194638
Type_TRANSFER,0.017651797571724383
Order Item Discount Rate,0.012777521662761342
Sales,0.007321218083443609
Type_DEBIT,0.005405695406463508
Product Price,0.00483506468558539
Type_PAYMENT,0.004487172957954856
Order Item Quantity,0.003792861110449088
Customer Segment_Consumer,0.0030628216083970856
Customer Segment_Corporate,0.0028416452921980443
Customer Segment_Home Office,0.002500552472016394
