order_month,total_sales,prev_month_sales,mom_growth_pct
2015-01,1051590.08,,
2015-02,927009.9,1051590.08,-11.85
2015-03,1051253.69,927009.9,13.4
2015-04,1014463.28,1051253.69,-3.5
2015-05,1050478.44,1014463.28,3.55
2015-06,1024006.17,1050478.44,-2.52
2015-07,1038081.19,1024006.17,1.37
2015-08,1029494.69,1038081.19,-0.83
2015-09,1018338.6,1029494.69,-1.08
2015-10,1049154.27,1018338.6,3.03
2015-11,1029120.24,1049154.27,-1.91
2015-12,1057840.88,1029120.24,2.79
2016-01,1046308.25,1057840.88,-1.09
2016-02,968542.85,1046308.25,-7.43
2016-03,1025853.12,968542.85,5.92
2016-04,1001211.58,1025853.12,-2.4
2016-05,1029400.2,1001211.58,2.82
2016-06,1003059.55,1029400.2,-2.56
2016-07,1045715.62,1003059.55,4.25
2016-08,1048200.25,1045715.62,0.24
2016-09,1002397.04,1048200.25,-4.37
2016-10,1048130.55,1002397.04,4.56
2016-11,1047590.14,1048130.55,-0.05
2016-12,1037408.17,1047590.14,-0.97
2017-01,1029698.02,1037408.17,-0.74
2017-02,992534.9,1029698.02,-3.61
2017-03,1048004.78,992534.9,5.59
2017-04,1038321.62,1048004.78,-0.92
2017-05,1105485.32,1038321.62,6.47
2017-06,1032086.49,1105485.32,-6.64
2017-07,1104373.36,1032086.49,7.0
2017-08,1109337.17,1104373.36,0.45
2017-09,1143775.11,1109337.17,3.1
2017-10,1073994.17,1143775.11,-6.1
2017-11,626914.38,1073994.17,-41.63
2017-12,503910.82,626914.38,-19.62
2018-01,331650.12,503910.82,-34.18
