Category Name,Product Name,total_sales,rn
Accessories,Team Golf St. Louis Cardinals Putter Grip,23940.42,1
Accessories,Team Golf Tennessee Volunteers Putter Grip,22865.85,2
Accessories,Team Golf Texas Longhorns Putter Grip,22366.05,3
As Seen on  TV!,Nike Men's Free TR 5.0 TB Training Shoe,20597.94,1
Baby ,Baby sweater,12229.56,1
Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,56330.61,1
Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,27327.19,2
Baseball & Softball,adidas Brazuca 2014 Official Match Ball,10399.35,3
Basketball,SOLE E25 Elliptical,9999.9,1
Basketball,Diamondback Boys' Insight 24 Performance Hybr,8699.71,2
Basketball,Diamondback Girls' Clarity 24 Hybrid Bike 201,8399.72,3
Books ,Sports Books ,12587.4,1
Boxing & MMA,Under Armour Women's Micro G Skulpt Running S,46559.59,1
Boxing & MMA,Nike Women's Free 5.0 TR FIT PRT 4 Training S,19567.94,2
Boxing & MMA,Brooks Women's Ghost 6 Running Shoe,19077.88,3
CDs ,CDs of rock,3059.59,1
Cameras ,Web Camera,267607.69,1
Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,4118425.57,1
Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,3667633.2,1
Cardio Equipment,Nike Women's Tempo Shorts,27210.0,2
Children's Clothing,Children's heaters,232829.2,1
Cleats,Perfect Fitness Perfect Rip Deck,4421143.14,1
Cleats,Total Gym 1400,10799.64,2
Computers,Dell Laptop,663000.0,1
Consumer Electronics,Industrial consumer electronics,108991.28,1
Crafts,Porcelain crafts,223356.33,1
DVDs,DVDs ,79395.54,1
Electronics,Titleist Pro V1x High Numbers Personalized Go,47206.92,1
Electronics,Titleist Pro V1 High Numbers Personalized Gol,44243.49,2
Electronics,Titleist Pro V1x Golf Balls,41415.37,3
Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6929653.69,1
Fitness Accessories,Under Armour Hustle Storm Medium Duffle Bag,29601.54,1
Fitness Accessories,Bowflex SelectTech 1090 Dumbbells,5999.9,2
Garden,Lawn mower,257768.73,1
Girls' Apparel,adidas Youth Germany Black/Red Away Match Soc,67830.0,1
Girls' Apparel,TYR Boys' Team Digi Jammer,35191.2,2
Girls' Apparel,Nike Men's Deutschland Weltmeister Winners Bl,27210.0,3
Golf Apparel,Top Flite Women's 2014 XL Hybrid,17731.13,1
Golf Apparel,TaylorMade Women's RBZ SL Rescue,8839.32,2
Golf Apparel,Cleveland Golf Women's 588 RTX CB Satin Chrom,8399.3,3
Golf Bags & Carts,Ogio Race Golf Shoes,10369.39,1
Golf Balls,Glove It Women's Imperial Golf Glove,18810.59,1
Golf Balls,Glove It Women's Mod Oval Golf Glove,16031.98,2
Golf Balls,Hirzl Women's Soffft Flex Golf Glove,15993.11,3
Golf Gloves,Clicgear Rovic Cooler Bag,34671.33,1
Golf Gloves,Bag Boy Beverage Holder,21116.55,2
Golf Gloves,Bag Boy M330 Push Cart,16637.92,3
Golf Shoes,LIJA Women's Eyelet Sleeveless Golf Polo,61490.0,1
Golf Shoes,LIJA Women's Mid-Length Panel Golf Shorts,22700.0,2
Golf Shoes,LIJA Women's Argyle Golf Polo,15600.0,3
Health and Beauty,First aid kit,106080.48,1
Hockey,Nike Women's Legend V-Neck T-Shirt,20025.0,1
Hockey,Nike Dri-FIT Crew Sock 6 Pack,19426.0,2
Hockey,Stiga Master Series ST3100 Competition Indoor,8909.73,3
Hunting & Shooting,ENO Atlas Hammock Straps,29930.02,1
Hunting & Shooting,The North Face Women's Recon Backpack,17919.0,2
Hunting & Shooting,insta-bed Neverflat Air Mattress,8999.4,3
Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,2888993.91,1
Kids' Golf Clubs,Fitbit The One Wireless Activity & Sleep Trac,18690.65,1
Kids' Golf Clubs,Polar FT4 Heart Rate Monitor,17638.04,2
Kids' Golf Clubs,Garmin Forerunner 910XT GPS Watch,13999.65,3
Lacrosse,Under Armour Men's Tech II T-Shirt,20866.65,1
Lacrosse,Nike Kids' Grade School KD VI Basketball Shoe,18598.14,2
Men's Clothing,Men's gala suit,43856.8,1
Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2891757.66,1
Men's Golf Clubs,Merrell Women's Grassbow Sport Hiking Shoe,20697.93,1
Men's Golf Clubs,Merrell Women's Siren Mid Waterproof Hiking B,9449.3,2
Men's Golf Clubs,Merrell Men's All Out Flash Trail Running Sho,9349.15,3
Music,Rock music,113122.1,1
Pet Supplies,Adult dog supplies,41524.8,1
Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,1269082.67,1
Shop By Sport,Columbia Men's PFG Anchor Tough T-Shirt,27840.0,2
Shop By Sport,Nike Men's Kobe IX Elite Low Basketball Shoe,12599.37,3
Soccer,Elevation Training Mask 2.0,18477.69,1
Soccer,Nike Men's Fingertrap Max Training Shoe,7999.36,2
Sporting Goods,Smart watch ,117006.75,1
Strength Training,SOLE E35 Elliptical,29999.85,1
Strength Training,GoPro HERO3+ Black Edition Camera,12799.68,2
Strength Training,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,12096.0,3
Tennis & Racquet,Nike Men's Comfort 2 Slide,44585.09,1
Toys,Toys ,6104.66,1
Trade-In,Glove It Women's Mod Oval 3-Zip Carry All Gol,20450.7,1
Trade-In,Garmin Approach S3 Golf GPS Watch,19249.23,2
Trade-In,Glove It Imperial Golf Towel,14870.7,3
Video Games,Fighting video games,33310.5,1
Water Sports,Pelican Sunstream 100 Kayak,3099845.09,1
Water Sports,Pelican Maverick 100X Kayak,13999.6,2
Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3147800.0,1
Women's Clothing,Summer dresses,140283.0,1
Women's Golf Clubs,TaylorMade White Smoke IN-12 Putter,19298.07,1
Women's Golf Clubs,Cleveland Golf Collegiate My Custom Wedge 588,13649.35,2
Women's Golf Clubs,MDGolf Pittsburgh Penguins Putter,11598.55,3
