order_month,total_sales,cumulative_sales,next_month_sales
2015-01,1051590.08,1051590.08,927009.9
2015-02,927009.9,1978599.98,1051253.69
2015-03,1051253.69,3029853.67,1014463.28
2015-04,1014463.28,4044316.95,1050478.44
2015-05,1050478.44,5094795.39,1024006.17
2015-06,1024006.17,6118801.56,1038081.19
2015-07,1038081.19,7156882.75,1029494.69
2015-08,1029494.69,8186377.44,1018338.6
2015-09,1018338.6,9204716.04,1049154.27
2015-10,1049154.27,10253870.31,1029120.24
2015-11,1029120.24,11282990.55,1057840.88
2015-12,1057840.88,12340831.43,1046308.25
2016-01,1046308.25,13387139.68,968542.85
2016-02,968542.85,14355682.53,1025853.12
2016-03,1025853.12,15381535.65,1001211.58
2016-04,1001211.58,16382747.23,1029400.2
2016-05,1029400.2,17412147.43,1003059.55
2016-06,1003059.55,18415206.98,1045715.62
2016-07,1045715.62,19460922.6,1048200.25
2016-08,1048200.25,20509122.85,1002397.04
2016-09,1002397.04,21511519.89,1048130.55
2016-10,1048130.55,22559650.44,1047590.14
2016-11,1047590.14,23607240.59,1037408.17
2016-12,1037408.17,24644648.76,1029698.02
2017-01,1029698.02,25674346.78,992534.9
2017-02,992534.9,26666881.67,1048004.78
2017-03,1048004.78,27714886.46,1038321.62
2017-04,1038321.62,28753208.08,1105485.32
2017-05,1105485.32,29858693.4,1032086.49
2017-06,1032086.49,30890779.89,1104373.36
2017-07,1104373.36,31995153.25,1109337.17
2017-08,1109337.17,33104490.42,1143775.11
2017-09,1143775.11,34248265.53,1073994.17
2017-10,1073994.17,35322259.7,626914.38
2017-11,626914.38,35949174.08,503910.82
2017-12,503910.82,36453084.9,331650.12
2018-01,331650.12,36784735.01,
