Category Name,Product Name,product_sales,sales_rank
Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6929653.69,1
Cleats,Perfect Fitness Perfect Rip Deck,4421143.14,2
Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,4118425.57,3
Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,3667633.2,4
Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3147800.0,5
Water Sports,Pelican Sunstream 100 Kayak,3099845.09,6
Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2891757.66,7
Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,2888993.91,8
Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,1269082.67,9
Computers,Dell Laptop,663000.0,10
Cameras ,Web Camera,267607.69,11
Garden,Lawn mower,257768.73,12
Children's Clothing,Children's heaters,232829.2,13
Crafts,Porcelain crafts,223356.33,14
Women's Clothing,Summer dresses,140283.0,15
Sporting Goods,Smart watch ,117006.75,16
Music,Rock music,113122.1,17
Consumer Electronics,Industrial consumer electronics,108991.28,18
Health and Beauty,First aid kit,106080.48,19
DVDs,DVDs ,79395.54,20
