Order Region,region_sales,pct_of_total_sales
Western Europe,5894380.77,16.02
Central America,5665712.1,15.4
South America,2960881.41,8.05
Northern Europe,2155830.65,5.86
Southern Europe,2047918.82,5.57
Oceania,2016654.2,5.48
Southeast Asia,1932495.57,5.25
Caribbean,1651019.33,4.49
West of USA ,1571415.96,4.27
South Asia,1553680.92,4.22
Eastern Asia,1486401.34,4.04
East of USA,1371111.99,3.73
West Asia,1174671.78,3.19
US Center ,1151355.77,3.13
South of  USA ,785783.95,2.14
Eastern Europe,774266.57,2.1
West Africa,727951.19,1.98
North Africa,634752.22,1.73
East Africa,376234.9,1.02
Central Africa,327263.02,0.89
Southern Africa,228251.59,0.62
Canada,186861.04,0.51
Central Asia,109839.93,0.3
