Product Name,total_sales,late_rate_pct,n_line_items
Field & Stream Sportsman 16 Gun Fire Safe,6929653.69,54.93,17325
Perfect Fitness Perfect Rip Deck,4421143.14,54.96,24515
Diamondback Women's Serene Classic Comfort Bi,4118425.57,54.53,13729
Nike Men's Free 5.0+ Running Shoe,3667633.2,54.47,12169
Nike Men's Dri-FIT Victory Golf Polo,3147800.0,54.56,21035
Pelican Sunstream 100 Kayak,3099845.09,54.79,15500
Nike Men's CJ Elite 2 TD Football Cleat,2891757.66,54.49,22246
O'Brien Men's Neoprene Life Vest,2888993.91,54.75,19298
Under Armour Girls' Toddler Spine Surge Runni,1269082.67,55.24,10617
Dell Laptop,663000.0,50.68,442
